company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
The Container Store,034/San Jose,CA,442299,All Other Home Furnishings Stores,21,5.0,2,0,2,0,6.94,1388.0,400.0,0.0,2,94,4.58,0.17,NORMAL RISK
E C Barton & Company,5880,MS,444110,"Home centers, building materials",1,6.0,2,0,2,0,8.32,1386.67,333.33,0.0,2,232,9.57,-0.16,NORMAL RISK
Superior Ambulance Services,SUPERIOR AMBULANCE MICHIGAN,MI,621910,,1,51.0,25,0,4,19,70.64,1385.1,490.2,0.0,23,914,9.95,2.67,HIGH RISK OUTLIER
"""Veolia Municipal Water ConOps,Inc.""","""ConOps - NE - New England - Charlton,MA""",MA,221320,Wastewater,1,4.0,2,0,0,2,5.54,1385.0,500.0,0.0,2,54,5.32,0.01,NORMAL RISK
"Universal Services, Inc.","USI (Rogers, MN)",MN,238210,Low voltage electrical work,2,4.0,2,0,1,1,5.54,1385.0,500.0,0.0,2,4,4.16,0.14,NORMAL RISK
US Postal Service,PORTSIDE_1378179,VA,491110,Mail and Parcel Delivery,1,2.0,1,0,0,1,2.77,1385.0,500.0,0.0,1,27,9.91,-0.47,NORMAL RISK
Bumblebee Logistics LLC,Bumblebee Logistics LLC,TX,492110,,21,61.0,31,0,25,0,84.47,1384.75,508.2,0.0,25,347,32.44,0.75,NORMAL RISK
South Bayside Industries - Nelson Connects,Nelson Connects - SBI,CA,561320,Temporary staffing services,21,29.0,15,0,8,2,40.13,1383.79,517.24,0.0,10,613,6.99,1.32,ABOVE AVERAGE RISK
Prolink Staffing Services LLC,Chicago Operations,IL,561311,,1,3.0,1,0,1,0,4.15,1383.33,333.33,0.0,1,115,10.1,-0.18,NORMAL RISK
Tire Rack,TRH012,CA,454110,Electronic Shopping and Mail-Order Houses,21,23.0,10,0,4,5,31.8,1382.61,434.78,0.0,9,630,7.98,1.58,ABOVE AVERAGE RISK
AWI Supply,Branch 57 - Pine Bluff,AR,424690,Welding gases merchant wholesalers,1,9.0,4,0,2,2,12.4,1377.78,444.44,0.0,4,140,1.72,2.82,HIGH RISK OUTLIER
Harbor Freight Tools,ALMA MI 3627,MI,444130,Retail Hardware Stores,1,2.0,1,0,0,1,2.75,1375.0,500.0,0.0,1,25,1.94,0.22,NORMAL RISK
Ricoh USA Inc,506 - City Of Fort Co,CO,423420,Office Equipment,1,2.0,1,0,0,1,2.75,1375.0,500.0,0.0,1,25,0.26,2.16,HIGH RISK OUTLIER
Leeds West Groups,Leeds West Groups - KS Midas Wichita Central - 5856,KS,811111,Automotive Repair,1,5.0,1,0,1,0,6.86,1372.0,200.0,0.0,1,386,3.0,0.4,NORMAL RISK
General Floor BEL,General Floor BEL,NJ,423310,Home furnishing merchant wholesalers,1,6.0,3,0,1,2,8.23,1371.67,500.0,0.0,3,23,3.53,0.73,NORMAL RISK
US Postal Service,RIALTO_1379183,CA,491110,Mail and Parcel Delivery,1,7.0,3,0,2,1,9.6,1371.43,428.57,0.0,3,110,9.91,-0.02,NORMAL RISK
US Postal Service,WASHINGTON MAIN OFFICE_1386523,DC,491110,Mail and Parcel Delivery,1,5.0,2,0,2,0,6.85,1370.0,400.0,0.0,2,85,9.91,-0.2,NORMAL RISK
Rosemont Hockey Partners,Rosemont Hockey Partners (game operations),IL,711210,,2,23.0,13,0,9,0,31.44,1366.96,565.22,0.0,9,44,15.72,0.71,NORMAL RISK
Grandma's House of Hope,Grandma's House of Hope - Harmony Place,CA,624221,Homeless shelters,2,3.0,0,0,2,0,4.1,1366.67,0.0,0.0,2,10,12.5,-0.3,NORMAL RISK
ArcBest - Risk Management,ABF Freight 043,CT,484122,Transportation,22,22.0,11,0,8,0,30.06,1366.36,500.0,0.0,8,306,10.61,1.2,ABOVE AVERAGE RISK
"South Kern Dairy, LLC","South Kern Dairy, LLC",CA,112120,Dairy cattle farming,1,6.0,2,0,3,0,8.18,1363.33,333.33,0.0,3,18,7.77,0.04,NORMAL RISK
Pioneer Masonry Supply,Pioneer Masonry Supply,OH,423320,Mason's materials merchant wholesalers,1,7.0,4,0,2,1,9.53,1361.43,571.43,0.0,3,3,3.2,0.92,NORMAL RISK
Telecare Corporation,Sutter Yuba Shine,CA,622210,Mental health hospitals,1,5.0,3,0,1,0,6.8,1360.0,600.0,0.0,1,180,26.75,-0.24,NORMAL RISK
CareVet TMS LLC,Columbia Animal Hospital,MO,541940,Veterinary Services,1,7.0,6,0,1,1,9.52,1360.0,857.14,0.0,2,2,5.69,0.24,NORMAL RISK
Sutter Yuba Shine,392,CA,622210,Mental health hospitals,1,5.0,3,0,1,0,6.8,1360.0,600.0,0.0,1,180,26.75,-0.24,NORMAL RISK
"Matthews Senior Housing, LLC",Sussex Assisted Living,WI,623312,Assisted Living Facilities for the Elderly,21,3.0,1,0,1,0,4.08,1360.0,333.33,0.0,1,108,6.93,-0.31,NORMAL RISK
Telecare Corporation,392 Sutter Yuba Shine,CA,622210,Mental health hospitals,1,5.0,3,0,1,0,6.8,1360.0,600.0,0.0,1,180,26.75,-0.24,NORMAL RISK
Glass House Brands,"G&H Supply Co, LLC",CA,111422,Flower growing,21,5.0,5,0,0,1,6.79,1358.0,1000.0,0.0,1,29,8.83,-0.09,NORMAL RISK
CAMDEN DEVELOPMENT INC,CAMDEN PLANTATION,FL,531110,Lessors Residential Bldgs Dwellings,1,9.0,4,0,1,3,12.22,1357.78,444.44,0.0,4,172,2.34,1.22,ABOVE AVERAGE RISK
GOODWILL IND NW NC INC,5505A GNWNC ADC ASHEV HENDERSONV RD,NC,624310,NOT FOR PROFIT HUMAN SERVICES VOCATIONAL EDUCATION AND TRAINING FUNDED BY THE DONATIONS SOLD IN RETAIL,1,4.0,1,0,2,0,5.43,1357.5,250.0,0.0,2,43,3.52,0.21,NORMAL RISK
Cogir Senior Living,Cadence at Broomfield,CO,623311,Continuing care retirement communities,1,2.0,1,0,0,1,2.71,1355.0,500.0,0.0,1,21,11.23,-0.43,NORMAL RISK
"Johnson County, Iowa",Emergency Management,IA,922190,"Emergency planning and management offices, government",1,2.0,1,0,0,1,2.71,1355.0,500.0,0.0,1,21,25.73,-0.16,NORMAL RISK
US Postal Service,VILLA RICA_1385974,GA,491110,Mail and Parcel Delivery,1,3.0,2,0,1,0,4.06,1353.33,666.67,0.0,1,6,9.91,-0.38,NORMAL RISK
US Postal Service,MARLTON_1371932,NJ,491110,Mail and Parcel Delivery,1,3.0,2,0,1,0,4.06,1353.33,666.67,0.0,1,6,9.91,-0.38,NORMAL RISK
Full Spectrum Solar,Next Energy LLC - Waukesha,WI,238210,Installation of photovoltaic panels,1,6.0,3,0,1,2,8.1,1350.0,500.0,0.0,3,10,4.16,0.41,NORMAL RISK
