company_name,establishment_name,state,naics_code,industry_description,size,employees,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases,risk_score,normalized_risk,injury_rate,fatality_rate,severity_load,lost_time_index,industry_avg_risk,risk_z_score,risk_category
Work Unlimited,Work Unlimited (Dept. 12),OR,623210,"Group homes, intellectual and developmental disability",21,12.0,6,0,5,0,18.06,1505.0,500.0,0.0,5,206,5.7,0.57,NORMAL RISK
INTERNATIONAL GOLF MAINTENANCE INC,IGM AT LAKE HENRY,FL,561730,Landscape care and maintenance services,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,6.22,-0.24,NORMAL RISK
Rise Against Hunger,New England,MA,624230,Non Profit,1,4.0,2,0,2,0,6.02,1505.0,500.0,0.0,2,2,2.02,1.09,ABOVE AVERAGE RISK
Schneider Inc.,MLS-REY - TS Tech OH,OH,484121,,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,9.02,-0.23,NORMAL RISK
Oregon State Police,Fossil Worksite,OR,922190,Public Safety,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,25.73,-0.15,NORMAL RISK
Leslie's Poolmart Inc,Store 0673,GA,453998,Swimming pool supply stores,1,2.0,1,0,0,1,3.01,1505.0,500.0,0.0,1,51,1.11,0.85,NORMAL RISK
Coversafe - CIN,Coversafe - CIN Location,OH,238990,"Swimming pool, outdoor, construction",1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,2.32,0.1,NORMAL RISK
HSL Asset Management LLC - Brittany Court,Brittany Court,AZ,531311,Residential property managing,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,1.79,0.15,NORMAL RISK
"Quality Management Group, Inc.",Desert Oasis,CA,531110,Apartment hotel rental or leasing,1,4.0,4,0,1,0,6.02,1505.0,1000.0,0.0,1,2,2.34,0.45,NORMAL RISK
Parkside Assisted Living,Parkside Assisted Living,WI,623311,Assisted-living facilities with on-site nursing facilities,21,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,11.23,-0.42,NORMAL RISK
ITC Federal,Vermont Service Center,VT,541519,"Software installation services, computer",3,10.0,11,0,2,0,15.05,1505.0,1100.0,0.0,2,5,1.04,4.28,CRITICAL OUTLIER
"Comcast Cable Communications Management, LLC",MAM11,MA,517111,Cable and Other Subscription Programming,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,4.31,-0.14,NORMAL RISK
US Postal Service,MACDILL AFB_1438733,FL,491110,Mail and Parcel Delivery,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,9.91,-0.45,NORMAL RISK
"Matthews Senior Housing, LLC",The Courtyard at Oshkosh,WI,623312,,21,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,6.93,-0.42,NORMAL RISK
Cable One,IL  Galesburg,IL,515210,Broadband Provider,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,2.73,0.04,NORMAL RISK
SCDPH,Florence County Annex,SC,923120,Health program administration,1,2.0,1,0,1,0,3.01,1505.0,500.0,0.0,1,1,3.02,-0.0,NORMAL RISK
Marbucco Corp dba Granite State Glass,Manchester,NH,238150,"Curtain wall, glass, installation",1,10.0,5,0,3,2,15.04,1504.0,500.0,0.0,5,104,3.7,2.03,HIGH RISK OUTLIER
Valiant Enterprises LLC,Chisholm Place,TX,531311,6531,3,2.0,1,0,1,0,3.0,1500.0,500.0,0.0,1,0,1.79,0.15,NORMAL RISK
All the Best Pet Care,Mercer Island,WA,453910,Pet supply stores,1,6.0,1,0,3,1,9.0,1500.0,166.67,0.0,4,50,1.87,1.51,ABOVE AVERAGE RISK
3M Company,Chattanooga - KCI,TN,532283,,1,2.0,1,0,0,1,3.0,1500.0,500.0,0.0,1,50,0.68,0.64,NORMAL RISK
BHE  Limon CO006,Limon,CO,221210,Utilities Natural Gas Distribution,1,2.0,1,0,1,0,3.0,1500.0,500.0,0.0,1,0,3.48,-0.05,NORMAL RISK
CORTESE CHRYSLER JEEP DODGE INC,Cortese Chrysler Jeep Dodge inc,NY,441110,"Automobile dealers, new only or new and used",21,2.0,3,0,0,0,3.0,1500.0,1500.0,0.0,0,0,4.58,-0.23,NORMAL RISK
Southern Power Company,Lamesa,TX,221114,"Electric power generation, solar",1,4.0,1,1,0,0,6.0,1500.0,250.0,250.0,5,0,3.09,0.5,NORMAL RISK
Valiant Enterprises LLC,Lakefront Villas,TX,531311,6531,3,2.0,1,0,1,0,3.0,1500.0,500.0,0.0,1,0,1.79,0.15,NORMAL RISK
Related Management Company LP,Related Management Company LP Burt Farms I Apartments,NY,531110,,1,2.0,1,0,1,0,3.0,1500.0,500.0,0.0,1,0,2.34,0.08,NORMAL RISK
Valiant Enterprises LLC,Arden Overlook,OK,531311,6531,3,2.0,1,0,1,0,3.0,1500.0,500.0,0.0,1,0,1.79,0.15,NORMAL RISK
